SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,Teste feito com 100 gerações e 200 indivíduos
Pesq. Oper.,Informática,,Inf. Bás.,,,
,Informática,,Pesq. Oper.,Mat. Comp.,,Nota do resultado
Int. Cien. Comp.,,Mat. Comp.,Pesq. Oper.,,,97
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Calculo 1,,Arquitetura 1,Prog. Orientada a Obj.,,,
Prog. Web,Calculo 1,Arquitetura 1,Prog. Orientada a Obj.,,,
Prog. Web,Calculo 1,,Prog. Web,Prog. Orientada a Obj.,,
