SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,Teste feito com 100 gerações e 200 indivíduos
Pesq. Oper.,,Informática,Inf. Bás.,,,
,Mat. Comp.,Informática,Int. Cien. Comp.,Pesq. Oper.,,Nota do resultado
,Mat. Comp.,Pesq. Oper.,,,,97
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Prog. Web,Prog. Orientada a Obj.,Prog. Orientada a Obj.,Arquitetura 1,,
,Prog. Web,,Prog. Web,Arquitetura 1,,
Calculo 1,,Calculo 1,Calculo 1,Prog. Orientada a Obj.,,
