SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,Teste feito com 100 gerações e 200 indivíduos
,Informática,,,,,
Int. Cien. Comp.,Informática,Pesq. Oper.,Pesq. Oper.,Mat. Comp.,,Nota do resultado
Mat. Comp.,,Pesq. Oper.,,Inf. Bás.,,97
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Web,Calculo 1,,Arquitetura 1,Prog. Orientada a Obj.,,
Prog. Web,Calculo 1,Calculo 1,Arquitetura 1,,,
Prog. Web,Prog. Orientada a Obj.,,Prog. Orientada a Obj.,,,
