SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Mat. Comp.,Inf. Bás.,,Int. Cien. Comp.,Informática,,
,Pesq. Oper.,Pesq. Oper.,Pesq. Oper.,,,Nota do resultado
Informática,Mat. Comp.,,,,,200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Web,Prog. Orientada a Obj.,Calculo 1,Prog. Web,,,
Prog. Orientada a Obj.,,,Arquitetura 1,Arquitetura 1,,
Calculo 1,Calculo 1,Prog. Web,Prog. Orientada a Obj.,,,
