SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
,Mat. Comp.,,Mat. Comp.,,,
Inf. Bás.,Pesq. Oper.,Informática,,Informática,,Nota do resultado
,Pesq. Oper.,Pesq. Oper.,Int. Cien. Comp.,,,200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Arquitetura 1,Prog. Web,,Prog. Web,Arquitetura 1,,
Prog. Orientada a Obj.,Prog. Web,,Calculo 1,,,
Calculo 1,Calculo 1,Prog. Orientada a Obj.,Prog. Orientada a Obj.,,,
