SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Informática,,Int. Cien. Comp.,,Mat. Comp.,,
Inf. Bás.,,Informática,,,,Nota do resultado
Mat. Comp.,Pesq. Oper.,Pesq. Oper.,Pesq. Oper.,,,200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Calculo 1,Prog. Web,Calculo 1,Prog. Orientada a Obj.,,,
Prog. Web,Arquitetura 1,Prog. Orientada a Obj.,Calculo 1,,,
Prog. Web,Prog. Orientada a Obj.,Arquitetura 1,,,,
