SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Int. Cien. Comp.,Pesq. Oper.,,Inf. Bás.,,,
Informática,Pesq. Oper.,,Informática,,,Nota do resultado
Pesq. Oper.,Mat. Comp.,Mat. Comp.,,,,200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Web,Arquitetura 1,Calculo 1,,Calculo 1,,
Prog. Orientada a Obj.,,Prog. Web,Prog. Orientada a Obj.,,,
Calculo 1,Prog. Orientada a Obj.,Prog. Web,Arquitetura 1,,,
