SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
,Inf. Bás.,,Informática,,,
,Mat. Comp.,Int. Cien. Comp.,Informática,,,Nota do resultado
Pesq. Oper.,Pesq. Oper.,Mat. Comp.,Pesq. Oper.,,,200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Arquitetura 1,Prog. Web,Calculo 1,Calculo 1,,,
,Prog. Orientada a Obj.,Prog. Web,Prog. Orientada a Obj.,,,
Prog. Web,Prog. Orientada a Obj.,Calculo 1,,Arquitetura 1,,
