SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Int. Cien. Comp.,Mat. Comp.,,Pesq. Oper.,Mat. Comp.,,
Inf. Bás.,,Pesq. Oper.,,Informática,,Nota do resultado
,Pesq. Oper.,Informática,,,,200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Calculo 1,Calculo 1,Calculo 1,Prog. Web,,,
Prog. Web,Prog. Orientada a Obj.,Prog. Orientada a Obj.,Prog. Orientada a Obj.,,,
Arquitetura 1,Arquitetura 1,,Prog. Web,,,
