SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Pesq. Oper.,,,,Pesq. Oper.,,
Mat. Comp.,Inf. Bás.,Pesq. Oper.,Int. Cien. Comp.,,,Nota do resultado
Informática,,Informática,Mat. Comp.,,,200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Arquitetura 1,Prog. Web,Prog. Orientada a Obj.,Prog. Web,,,
Calculo 1,Prog. Web,Arquitetura 1,Prog. Orientada a Obj.,,,
,Calculo 1,Calculo 1,Prog. Orientada a Obj.,,,
