SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
,Mat. Comp.,Informática,,,,
Inf. Bás.,,Mat. Comp.,,,,Nota do resultado
Informática,Pesq. Oper.,Pesq. Oper.,Pesq. Oper.,Int. Cien. Comp.,,200
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Orientada a Obj.,Prog. Web,,,Arquitetura 1,,
Prog. Orientada a Obj.,Prog. Web,Calculo 1,Calculo 1,,,
Arquitetura 1,Prog. Web,Calculo 1,Prog. Orientada a Obj.,,,
