SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Mat. Comp.,,,,Pesq. Oper.,,
Mat. Comp.,,,,Pesq. Oper.,,Nota do resultado
Int. Cien. Comp.,,,,Pesq. Oper.,,69
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,Prog. Web,,Prog. Web,,
,,Informática,,Prog. Web,,
,,Inf. Bás.,,Informática,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,Calculo 1,Prog. Orientada a Obj.,,,
,Prog. Orientada a Obj.,Calculo 1,Prog. Orientada a Obj.,,,
,,Calculo 1,Arquitetura 1,Arquitetura 1,,
