SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Informática,Int. Cien. Comp.,,Mat. Comp.,,,Nota do resultado
Informática,Pesq. Oper.,Mat. Comp.,,,,69
Inf. Bás.,Pesq. Oper.,Pesq. Oper.,,,,
,,,,,,
Calculo 1,Prog. Orientada a Obj.,,,Prog. Web,,
Calculo 1,Prog. Orientada a Obj.,,Arquitetura 1,Prog. Web,,
Prog. Web,Arquitetura 1,,Prog. Orientada a Obj.,Calculo 1,,
