SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
,Pesq. Oper.,Inf. Bás.,,Mat. Comp.,,
,Pesq. Oper.,Informática,,Mat. Comp.,,Nota do resultado
,Pesq. Oper.,Informática,,Int. Cien. Comp.,,69
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Orientada a Obj.,,Calculo 1,Calculo 1,Prog. Web,,
Prog. Orientada a Obj.,,Prog. Orientada a Obj.,Calculo 1,Prog. Web,,
Arquitetura 1,,,Arquitetura 1,Prog. Web,,
