SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Informática,,,Mat. Comp.,Int. Cien. Comp.,,
Informática,,,Inf. Bás.,Pesq. Oper.,,Nota do resultado
Mat. Comp.,,,Pesq. Oper.,Pesq. Oper.,,45
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Orientada a Obj.,Prog. Web,,Prog. Orientada a Obj.,Prog. Orientada a Obj.,,
Arquitetura 1,Prog. Web,,Calculo 1,Arquitetura 1,,
Calculo 1,Prog. Web,,Calculo 1,,,
