SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Int. Cien. Comp.,,Informática,,,,
,Pesq. Oper.,Informática,Mat. Comp.,,,Nota do resultado
Pesq. Oper.,Inf. Bás.,Pesq. Oper.,Mat. Comp.,,,245
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Calculo 1,Prog. Web,Calculo 1,Calculo 1,,,
Prog. Orientada a Obj.,Prog. Web,Arquitetura 1,Prog. Orientada a Obj.,,,
,Prog. Orientada a Obj.,,Prog. Web,Arquitetura 1,,
