SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Informática,,Mat. Comp.,,,,
,,Inf. Bás.,,Pesq. Oper.,,Nota do resultado
Mat. Comp.,Pesq. Oper.,Pesq. Oper.,Informática,Int. Cien. Comp.,,245
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Arquitetura 1,Prog. Web,Calculo 1,Calculo 1,,,
Prog. Orientada a Obj.,Prog. Web,Prog. Orientada a Obj.,Prog. Orientada a Obj.,,,
,Arquitetura 1,Prog. Web,Calculo 1,,,
