SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
,Pesq. Oper.,,,,,
Informática,Int. Cien. Comp.,,Mat. Comp.,Pesq. Oper.,,Nota do resultado
Inf. Bás.,Mat. Comp.,Informática,Pesq. Oper.,,,243
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Orientada a Obj.,,Calculo 1,Arquitetura 1,Prog. Web,,
Arquitetura 1,Prog. Web,Calculo 1,,Prog. Orientada a Obj.,,
Calculo 1,Prog. Web,,Prog. Orientada a Obj.,,,
