SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Informática,Inf. Bás.,Mat. Comp.,Int. Cien. Comp.,,,
Pesq. Oper.,,Informática,Mat. Comp.,,,Nota do resultado
Pesq. Oper.,,,Pesq. Oper.,,,242
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Arquitetura 1,,Prog. Web,Calculo 1,,,
Arquitetura 1,Calculo 1,Calculo 1,Prog. Orientada a Obj.,,,
Prog. Web,Prog. Orientada a Obj.,Prog. Orientada a Obj.,Prog. Web,,,
