SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
,,,Int. Cien. Comp.,Mat. Comp.,,
Pesq. Oper.,,,Pesq. Oper.,Inf. Bás.,,Nota do resultado
Informática,Pesq. Oper.,,Informática,Mat. Comp.,,242
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Orientada a Obj.,Prog. Web,Prog. Orientada a Obj.,Prog. Web,,,
Calculo 1,Prog. Web,Arquitetura 1,Prog. Orientada a Obj.,,,
,Arquitetura 1,Calculo 1,Calculo 1,,,
