SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Pesq. Oper.,Mat. Comp.,Informática,Pesq. Oper.,,,
,Pesq. Oper.,,Inf. Bás.,Informática,,Nota do resultado
,,Int. Cien. Comp.,Mat. Comp.,,,243
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Web,Calculo 1,Arquitetura 1,Arquitetura 1,Prog. Orientada a Obj.,,
Prog. Orientada a Obj.,Prog. Web,,Calculo 1,Calculo 1,,
,,,Prog. Orientada a Obj.,Prog. Web,,
