SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
,Informática,Mat. Comp.,,Informática,,
,,Pesq. Oper.,Int. Cien. Comp.,,,Nota do resultado
Pesq. Oper.,Inf. Bás.,,Pesq. Oper.,Mat. Comp.,,243
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Calculo 1,Prog. Web,Prog. Orientada a Obj.,Calculo 1,,
Prog. Web,Prog. Orientada a Obj.,,Calculo 1,,,
Arquitetura 1,Prog. Orientada a Obj.,Prog. Web,Arquitetura 1,,,
