SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
,,Informática,Informática,,,
,,Int. Cien. Comp.,Inf. Bás.,Pesq. Oper.,,Nota do resultado
Pesq. Oper.,Mat. Comp.,,Pesq. Oper.,Mat. Comp.,,242
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Web,Calculo 1,Arquitetura 1,Calculo 1,Prog. Orientada a Obj.,,
Prog. Web,Arquitetura 1,Calculo 1,Prog. Orientada a Obj.,,,
Prog. Web,,,,Prog. Orientada a Obj.,,
