SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,Teste feito com 100 gerações e 200 indivíduos
Informática,,Inf. Bás.,,Pesq. Oper.,,
Informática,Pesq. Oper.,,,Pesq. Oper.,,Nota do resultado
Mat. Comp.,,Mat. Comp.,Int. Cien. Comp.,,,137
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Arquitetura 1,Prog. Web,Prog. Orientada a Obj.,Prog. Web,,
,Arquitetura 1,,Prog. Orientada a Obj.,Prog. Web,,
,Calculo 1,Calculo 1,Prog. Orientada a Obj.,Calculo 1,,
