SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
,,Inf. Bás.,Pesq. Oper.,,,
Mat. Comp.,Informática,Int. Cien. Comp.,Pesq. Oper.,,,Nota do resultado
Informática,,Mat. Comp.,Pesq. Oper.,,,186
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Prog. Web,Prog. Orientada a Obj.,Prog. Web,,Calculo 1,,
Arquitetura 1,Prog. Orientada a Obj.,Prog. Orientada a Obj.,,Calculo 1,,
,Prog. Web,Arquitetura 1,,Calculo 1,,
